kernel,view,time_us,p95_tile_us,p99_tile_us,warp_eff,branch_div,mem_coalesce,l2_miss_rate
physics_step,1,341,0,0,1,0,1,0
physics_step,1,332,0,0,1,0,1,0
physics_step,1,127,0,0,1,0,1,0
physics_step,1,126,0,0,1,0,1,0
physics_step,1,126,0,0,1,0,1,0
physics_step,1,125,0,0,1,0,1,0
physics_step,1,124,0,0,1,0,1,0
physics_step,1,126,0,0,1,0,1,0
physics_step,1,125,0,0,1,0,1,0
physics_step,1,126,0,0,1,0,1,0
physics_step,1,126,0,0,1,0,1,0
physics_step,1,126,0,0,1,0,1,0
physics_step,1,126,0,0,1,0,1,0
physics_step,1,125,0,0,1,0,1,0
physics_step,1,125,0,0,1,0,1,0
physics_step,1,124,0,0,1,0,1,0
physics_step,1,124,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,124,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,124,0,0,1,0,1,0
physics_step,1,124,0,0,1,0,1,0
physics_step,1,124,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,124,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,123,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,106,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,106,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,109,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,106,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,106,0,0,1,0,1,0
physics_step,1,106,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,93,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,94,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,93,0,0,1,0,1,0
physics_step,1,93,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,93,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,93,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,93,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,219,0,0,1,0,1,0
physics_step,1,449,0,0,1,0,1,0
physics_step,1,115,0,0,1,0,1,0
physics_step,1,93,0,0,1,0,1,0
physics_step,1,120,0,0,1,0,1,0
physics_step,1,105,0,0,1,0,1,0
physics_step,1,94,0,0,1,0,1,0
physics_step,1,101,0,0,1,0,1,0
physics_step,1,86,0,0,1,0,1,0
physics_step,1,89,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,90,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,90,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,90,0,0,1,0,1,0
physics_step,1,85,0,0,1,0,1,0
physics_step,1,85,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,85,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,85,0,0,1,0,1,0
physics_step,1,90,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,89,0,0,1,0,1,0
physics_step,1,81,0,0,1,0,1,0
physics_step,1,81,0,0,1,0,1,0
physics_step,1,88,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,81,0,0,1,0,1,0
physics_step,1,89,0,0,1,0,1,0
physics_step,1,85,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,89,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,85,0,0,1,0,1,0
physics_step,1,93,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,124,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,86,0,0,1,0,1,0
physics_step,1,81,0,0,1,0,1,0
physics_step,1,82,0,0,1,0,1,0
physics_step,1,90,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,82,0,0,1,0,1,0
physics_step,1,81,0,0,1,0,1,0
physics_step,1,82,0,0,1,0,1,0
physics_step,1,93,0,0,1,0,1,0
physics_step,1,81,0,0,1,0,1,0
physics_step,1,90,0,0,1,0,1,0
physics_step,1,82,0,0,1,0,1,0
physics_step,1,81,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,82,0,0,1,0,1,0
physics_step,1,92,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,82,0,0,1,0,1,0
physics_step,1,81,0,0,1,0,1,0
physics_step,1,89,0,0,1,0,1,0
physics_step,1,82,0,0,1,0,1,0
physics_step,1,82,0,0,1,0,1,0
physics_step,1,93,0,0,1,0,1,0
physics_step,1,82,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,91,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,90,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,90,0,0,1,0,1,0
physics_step,1,85,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,89,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,90,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,78,0,0,1,0,1,0
physics_step,1,85,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,86,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,82,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,81,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,81,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,80,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,80,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,78,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,80,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,79,0,0,1,0,1,0
physics_step,1,78,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,79,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,79,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,82,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,79,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,82,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,79,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,78,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,87,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,84,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,73,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,78,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,76,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,81,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,74,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,83,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,71,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,71,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,86,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,75,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,69,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,88,0,0,1,0,1,0
physics_step,1,73,0,0,1,0,1,0
physics_step,1,71,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,77,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,71,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,67,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,72,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,71,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,65,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
physics_step,1,70,0,0,1,0,1,0
physics_step,1,66,0,0,1,0,1,0
